State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),U (ppb),Total Hardness,Total_Anions,Alkalinity,EC_Cl_Ratio,WQI,WQI_Level
Andaman & Nicobar Islands,North & Middle Andaman,Bakultala,92.8577,12.5043,2023,7.96,395.0,0.0,171.0,14.0,0.18,28.0,8.0,12.0,32.0,18.0,5.0,8.225245609436437,160.0,221.0,171.0,26.333333333333332,25.4147206440585,Good
Andaman & Nicobar Islands,North & Middle Andaman,Baratang (Nilambur),92.767,12.1683,2023,8.19,473.0,0.0,31.0,96.0,0.0,50.0,10.0,26.0,17.0,39.0,5.0,8.225245609436437,135.0,187.0,31.0,4.876288659793815,10.852108450692414,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Basantipur,92.8737,12.7579,2023,8.19,556.0,0.0,220.0,28.0,0.0,51.0,1.0,38.0,33.0,22.0,1.0,8.225245609436437,230.0,300.0,220.0,19.17241379310345,12.617884278374902,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Betapur,92.9434,12.6191,2023,8.07,487.0,0.0,214.0,57.0,0.16,0.0,2.0,18.0,12.0,68.0,8.0,8.225245609436437,95.0,273.0,214.0,8.39655172413793,22.574799270750614,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Dhobidera (Mayabunder),92.8992,12.9099,2023,8.02,567.0,0.0,232.0,39.0,0.13,29.0,11.0,28.0,39.0,31.0,1.0,8.225245609436437,230.0,311.0,232.0,14.175,23.066137577545636,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Durgapur,93.0236,13.2765,2023,8.2,526.0,0.0,232.0,25.0,0.38,28.0,0.0,34.0,18.0,43.0,1.0,8.225245609436437,160.0,285.0,232.0,20.23076923076923,42.41037904677713,Good
Andaman & Nicobar Islands,North & Middle Andaman,Haribay,92.8442,13.0023,2023,8.15,233.0,0.0,92.0,25.0,0.0,12.0,3.0,24.0,2.0,25.0,1.0,8.225245609436437,70.0,132.0,92.0,8.961538461538462,8.616111464476045,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Joypur,92.8809,12.6982,2023,8.13,457.0,0.0,201.0,32.0,0.12,26.0,1.0,14.0,45.0,12.0,0.0,8.225245609436437,220.0,260.0,201.0,13.848484848484848,22.714804253795087,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Kadamtala,92.775,12.3488,2023,8.09,413.0,0.0,214.0,25.0,0.0,8.0,2.0,34.0,23.0,13.0,1.0,8.225245609436437,180.0,249.0,214.0,15.884615384615385,10.762967534746553,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Kausalyanagar,92.8189,12.5284,2023,8.08,276.0,0.0,122.0,21.0,0.0,13.0,4.0,24.0,9.0,23.0,3.0,8.225245609436437,95.0,160.0,122.0,12.545454545454545,8.96574306656078,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Keralapuram,93.0135,13.2588,2023,8.18,271.0,0.0,98.0,28.0,0.0,15.0,2.0,8.0,21.0,15.0,2.0,8.225245609436437,105.0,143.0,98.0,9.344827586206897,10.36251582655651,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Kishorinagar (Parangara),92.8839,13.163,2023,8.25,72.0,0.0,31.0,7.0,0.03,1.0,1.0,6.0,4.0,3.0,1.0,8.225245609436437,30.0,40.0,31.0,9.0,11.221865563209802,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Laxmipur,92.964,13.2873,2023,8.12,1081.0,0.0,98.0,163.0,0.69,186.0,0.0,12.0,55.0,113.0,5.0,8.225245609436437,255.0,447.0,98.0,6.591463414634147,71.28197587296113,Poor
Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.9248,12.3653,2023,8.14,315.0,0.0,128.0,28.0,0.0,12.0,2.0,32.0,12.0,11.0,4.0,8.225245609436437,130.0,170.0,128.0,10.862068965517242,9.744423781579748,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.9237,12.3644,2023,8.15,353.0,0.0,159.0,14.0,0.0,30.0,0.0,12.0,33.0,9.0,0.0,8.225245609436437,165.0,203.0,159.0,23.533333333333335,11.521891676279393,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Long Island (Forest Area),92.9231,12.3667,2023,8.17,628.0,0.0,342.0,28.0,0.0,10.0,3.0,14.0,69.0,7.0,3.0,8.225245609436437,320.0,383.0,342.0,21.655172413793103,15.862353877611156,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Long Island (Sec. School),92.9176,12.3671,2023,8.13,342.0,0.0,177.0,18.0,0.03,7.0,0.0,24.0,19.0,12.0,0.0,8.225245609436437,140.0,202.0,177.0,18.0,12.70570402871959,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Milangram,92.9431,13.3148,2023,8.16,247.0,0.0,79.0,39.0,0.02,11.0,1.0,14.0,11.0,20.0,2.0,8.225245609436437,80.0,130.0,79.0,6.175,10.931414501857263,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Mohanpur,92.8357,12.9546,2023,7.91,416.0,0.0,201.0,21.0,0.11,2.0,20.0,34.0,26.0,13.0,3.0,8.225245609436437,190.0,244.0,201.0,18.90909090909091,19.655699776361924,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Nabagram,92.9491,13.1555,2023,8.21,298.0,0.0,116.0,35.0,0.0,0.0,2.0,24.0,9.0,25.0,1.0,8.225245609436437,95.0,153.0,116.0,8.277777777777779,9.71585889838782,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Nimbutala,92.9542,12.4946,2023,8.01,427.0,0.0,195.0,35.0,0.42,13.0,11.0,16.0,39.0,11.0,3.0,8.225245609436437,200.0,254.0,195.0,11.86111111111111,46.47850349352145,Good
Andaman & Nicobar Islands,North & Middle Andaman,Padmanavapuram,92.9493,12.6063,2023,7.91,294.0,0.0,98.0,21.0,0.27,25.0,26.0,26.0,1.0,37.0,1.0,8.225245609436437,70.0,170.0,98.0,13.363636363636363,30.28424759023084,Good
Andaman & Nicobar Islands,North & Middle Andaman,Pahalgaon,92.8532,12.8393,2023,8.03,405.0,0.0,183.0,35.0,0.11,11.0,6.0,12.0,39.0,12.0,1.0,8.225245609436437,190.0,235.0,183.0,11.25,20.72465924240954,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Parnashala,92.9043,12.5244,2023,8.08,703.0,0.0,232.0,103.0,0.0,8.0,3.0,22.0,43.0,60.0,6.0,8.225245609436437,230.0,346.0,232.0,6.759615384615385,12.83147547228122,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Phooltala Basti,92.7629,12.4118,2023,8.22,541.0,0.0,201.0,28.0,0.16,37.0,13.0,14.0,40.0,41.0,4.0,8.225245609436437,200.0,279.0,201.0,18.655172413793103,26.690042595447473,Good
Andaman & Nicobar Islands,North & Middle Andaman,Porlobjig-15,92.7813,12.496,2023,8.21,290.0,0.0,134.0,18.0,0.0,12.0,3.0,16.0,18.0,13.0,1.0,8.225245609436437,115.0,167.0,134.0,15.263157894736842,10.517287091638913,Excellent
Andaman & Nicobar Islands,North & Middle Andaman,Rangat,92.9108,12.5057,2023,8.02,558.0,0.0,268.0,28.0,0.46,14.0,9.0,24.0,40.0,30.0,5.0,8.225245609436437,225.0,319.0,268.0,19.24137931034483,50.24680354466952,Poor
Andaman & Nicobar Islands,North & Middle Andaman,Rest Camp,92.8593,12.8328,2023,7.95,441.0,0.0,171.0,35.0,0.42,32.0,8.0,34.0,21.0,21.0,1.0,8.225245609436437,170.0,246.0,171.0,12.25,44.53576819739565,Good
